"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 24 10:27:22 AST 2023","Sun Sep 24 10:27:22 AST 2023","100","Practice Suite","Join As Specialist Form Test","JoinAsSpecialistTest","JoinAsSpecialistTest","ClickingJoinAsSpecialistFormCloseHiddenEnterInformationForm","ClickingJoinAsSpecialistFormCloseHiddenEnterInformationForm",""
"passed","Sun Sep 24 10:28:13 AST 2023","Sun Sep 24 10:28:13 AST 2023","36","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","verifySliderIndexOneBlogPostShareTextIsCorrect","verifySliderIndexOneBlogPostShareTextIsCorrect",""
"passed","Sun Sep 24 10:28:47 AST 2023","Sun Sep 24 10:28:53 AST 2023","5972","Practice Suite","Academy Page Test","AcademyPageTest","AcademyPageTest","testFailLoginAcademyForm","testFailLoginAcademyForm",""
"passed","Sun Sep 24 10:28:47 AST 2023","Sun Sep 24 10:28:47 AST 2023","23","Practice Suite","Academy Page Test","AcademyPageTest","AcademyPageTest","verifyRegistrationFormIsDisplayed","verifyRegistrationFormIsDisplayed",""
"passed","Sun Sep 24 10:27:01 AST 2023","Sun Sep 24 10:27:01 AST 2023","17","Practice Suite","Home Page Test","HomePageTest.HeroSectionTest","HomePageTest.HeroSectionTest","verifyThatBookFirstSessionButtonTextIsCorrect","verifyThatBookFirstSessionButtonTextIsCorrect",""
"passed","Sun Sep 24 10:27:01 AST 2023","Sun Sep 24 10:27:01 AST 2023","22","Practice Suite","Home Page Test","HomePageTest.HeroSectionTest","HomePageTest.HeroSectionTest","verifyThatBookFirstSessionButtonIsDisplayed","verifyThatBookFirstSessionButtonIsDisplayed",""
"passed","Sun Sep 24 10:27:34 AST 2023","Sun Sep 24 10:27:34 AST 2023","20","Practice Suite","Specialists Page Test","SpecialistsPageTest","SpecialistsPageTest","verifyParagraphHeroSectionTextIsCorrect","verifyParagraphHeroSectionTextIsCorrect",""
"passed","Sun Sep 24 10:27:00 AST 2023","Sun Sep 24 10:27:01 AST 2023","68","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyBackFormAboutUsPageToHomePage","verifyBackFormAboutUsPageToHomePage",""
"passed","Sun Sep 24 10:29:18 AST 2023","Sun Sep 24 10:29:18 AST 2023","17","Practice Suite","Academy Page Test","AcademyPageTest","AcademyPageTest","verifyHeaderSearchResultTitleTextIsCorrect","verifyHeaderSearchResultTitleTextIsCorrect",""
"passed","Sun Sep 24 10:28:19 AST 2023","Sun Sep 24 10:28:19 AST 2023","30","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","verifySliderIndexOneBlogDetailsButtonIsDisplayed","verifySliderIndexOneBlogDetailsButtonIsDisplayed",""
"passed","Sun Sep 24 10:26:55 AST 2023","Sun Sep 24 10:26:58 AST 2023","2388","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","ClickingOrganizationsMenuItemOpensOrganizationsPage","ClickingOrganizationsMenuItemOpensOrganizationsPage",""
"passed","Sun Sep 24 10:26:24 AST 2023","Sun Sep 24 10:26:24 AST 2023","41","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyThatHomeScreenIsOpenedSuccessfully","verifyThatHomeScreenIsOpenedSuccessfully",""
"passed","Sun Sep 24 10:28:47 AST 2023","Sun Sep 24 10:28:47 AST 2023","21","Practice Suite","Academy Page Test","AcademyPageTest","AcademyPageTest","verifyRegistrationHeroSectionTitleIsDisplayed","verifyRegistrationHeroSectionTitleIsDisplayed",""
"passed","Sun Sep 24 10:27:11 AST 2023","Sun Sep 24 10:27:11 AST 2023","42","Practice Suite","Home Page Test","HomePageTest.StatisticsSectionTest","HomePageTest.StatisticsSectionTest","numberOfBeneficiariesTest","numberOfBeneficiariesTest",""
"passed","Sun Sep 24 10:28:06 AST 2023","Sun Sep 24 10:28:06 AST 2023","14","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","verifySliderIndexOneTitleTextIsCorrect","verifySliderIndexOneTitleTextIsCorrect",""
"passed","Sun Sep 24 10:26:24 AST 2023","Sun Sep 24 10:26:24 AST 2023","27","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyLogoItemSrcIsCorrect","verifyLogoItemSrcIsCorrect",""
"failed","Sun Sep 24 10:27:10 AST 2023","Sun Sep 24 10:27:10 AST 2023","24","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","verifyCard_2_ImageAltIsCorrect","verifyCard_2_ImageAltIsCorrect",""
"passed","Sun Sep 24 10:27:16 AST 2023","Sun Sep 24 10:27:17 AST 2023","21","Practice Suite","Join As Specialist Form Test","JoinAsSpecialistTest","JoinAsSpecialistTest","verifyAcademicSpecialityFieldPlaceholderIsCorrect","verifyAcademicSpecialityFieldPlaceholderIsCorrect",""
"passed","Sun Sep 24 10:27:17 AST 2023","Sun Sep 24 10:27:17 AST 2023","18","Practice Suite","Join As Specialist Form Test","JoinAsSpecialistTest","JoinAsSpecialistTest","verifyYearsOfExperienceFieldPlaceholderIsCorrect","verifyYearsOfExperienceFieldPlaceholderIsCorrect",""
